transition_id,gvkey,cik,coname,appt_date,classification,predecessor,successor,pred_last_full_fy,succ_first_full_fy
8480,135990,1013871.0,NRG ENERGY INC,2015-12-03,internal,David W. Crane,Mauricio Gutierrez,2014,2016
2736,8215,812074.0,OWENS-ILLINOIS INC,2015-12-31,internal,"Albert P. L. Stroucken, Ph.D.",Andres A. Lopez,2014,2016
4123,12138,1113169.0,PRICE (T. ROWE) GROUP,2015-12-31,internal,"James Aloysius-Charles Kennedy, C.F.A., CFA","William J. Stromberg, C.F.A.",2014,2016
2124,6649,58492.0,LEGGETT & PLATT INC,2015-12-31,internal,David S. Haffner,Karl G. Glassman,2014,2016
3238,9667,89800.0,SHERWIN-WILLIAMS CO,2015-12-31,internal,Christopher M. Connor,John G. Morikis,2014,2016
8257,121077,1048695.0,F5 NETWORKS INC,2015-12-31,external,Manuel F. Rivelo,John McAdam,2014,2016
8104,113490,1051470.0,CROWN CASTLE INTL CORP,2016-01-01,internal,W. Benjamin Moreland,Jay A. Brown,2015,2016
7975,66446,1050915.0,QUANTA SERVICES INC,2016-01-01,internal,"James Francis O'Neil, III","Earl C. Austin, Jr.",2015,2016
5908,24731,879101.0,KIMCO REALTY CORP,2016-01-01,internal,David Beard Henry,Conor C. Flynn,2015,2016
1730,5667,,HOLLYFRONTIER CORP,2016-01-01,internal,Michael C. Jennings,George J. Damiris,2015,2016
8758,149070,1156375.0,CME GROUP INC,2016-01-01,internal,Phupinder S. Gill,Terrence A. Duffy,2015,2016
900002,,,FASTENAL CO,2016-01-01,internal,Willard D. Oberton,Daniel L. Florness,2015,2016
406,2086,10456.0,BAXTER INTERNATIONAL INC,2016-01-01,external,"Robert L. Parkinson, Jr.",Jose E. Almeida,2015,2016
782,3026,313927.0,CHURCH & DWIGHT INC,2016-01-01,internal,James R. Craigie,Matthew T. Farrell,2015,2016
8687,145977,1158449.0,ADVANCE AUTO PARTS INC,2016-01-02,external,Darren R. Jackson,Thomas R. Greco,2015,2017
3320,9904,7332.0,SOUTHWESTERN ENERGY CO,2016-01-06,internal,Steven L. Mueller,William J. Way,2015,2017
4018,11672,109198.0,TJX COMPANIES INC,2016-01-31,internal,Carol M. Meyrowitz,Ernie L. Herrman,2015,2017
2286,7146,63754.0,MCCORMICK & CO INC,2016-02-01,internal,Alan D. Wilson,Lawrence E. Kurzius,2015,2017
4580,13599,816284.0,CELGENE CORP,2016-03-01,internal,"Robert J. Hugin, MBA",Mark J. Alles,2015,2017
5943,24856,882095.0,GILEAD SCIENCES INC,2016-03-10,internal,"John C. Martin, Ph.D.","John F. Milligan, Ph.D.",2015,2017
3275,9777,91419.0,SMUCKER (JM) CO,2016-04-01,internal,Richard K. Smucker,Mark T. Smucker,2015,2017
5920,24782,1585364.0,PERRIGO CO PLC,2016-04-24,internal,Joseph C. Papa,John T. Hendrickson,2015,2017
8205,119314,1075531.0,BOOKING HOLDINGS INC,2016-04-28,internal,Darren Richard Huston,Glenn D. Fogel,2015,2017
2673,8068,797468.0,OCCIDENTAL PETROLEUM CORP,2016-04-29,internal,Stephen I. Chazen,Vicki A. Hollub,2015,2017
311,1913,8818.0,AVERY DENNISON CORP,2016-05-01,internal,Dean A. Scarborough,Mitchell R. Butier,2015,2017
9531,11550,783325.0,WEC ENERGY GROUP INC,2016-05-01,internal,Gale E. Klappa,Allen Lewis Leverett,2015,2017
1073,3851,27904.0,DELTA AIR LINES INC,2016-05-02,internal,Richard H. Anderson,Edward H. Bastian,2015,2017
2609,7970,72741.0,EVERSOURCE ENERGY,2016-05-04,internal,Thomas J. May,James J. Judge,2015,2017
6129,25356,1532063.0,EXPRESS SCRIPTS HOLDING CO,2016-05-04,internal,George Paz,Timothy C. Wentworth,2015,2017
9205,178310,816761.0,TERADATA CORP,2016-05-05,external,Michael F. Koehler,Victor Lynn Lund,2015,2017
192,1598,1037868.0,AMETEK INC,2016-05-05,internal,Frank S. Hermance,David A. Zapico,2015,2017
107,1327,4127.0,SKYWORKS SOLUTIONS INC,2016-05-11,internal,David J. Aldrich,Liam K. Griffin,2015,2017
1220,4199,1551182.0,EATON CORP PLC,2016-05-31,internal,Alexander M. Cutler,Craig Arnold,2015,2017
4973,15521,791519.0,STAPLES INC,2016-06-14,internal,"Ronald L. Sargent, M.B.A.",Shira D. Goodman,2015,2017
9132,175404,1274494.0,FIRST SOLAR INC,2016-06-30,internal,James A. Hughes,Mark R. Widmar,2015,2017
960,3439,201533.0,CMS ENERGY CORP,2016-07-01,internal,John G. Russell,Patricia Kessler Poppe,2015,2017
2023,6335,54480.0,KANSAS CITY SOUTHERN,2016-07-01,internal,David L. Starling,Patrick J. Ottensmeyer,2015,2017
3084,9203,1024478.0,ROCKWELL AUTOMATION,2016-07-01,internal,Keith D. Nosbusch,Blake D. Moret,2015,2017
8505,138205,1110803.0,ILLUMINA INC,2016-07-05,internal,Jay T. Flatley,Francis A. deSouza,2015,2017
3365,10016,93556.0,STANLEY BLACK & DECKER INC,2016-07-31,internal,John F. Lundgren,James M. Loree,2015,2017
9043,165675,1339947.0,VIACOM INC,2016-08-01,internal,Philippe P. Dauman,Robert M. Bakish,2015,2017
7707,64410,1170010.0,CARMAX INC,2016-08-31,internal,Thomas Joseph Folliard,William D. Nash,2015,2017
1609,5256,277135.0,GRAINGER (W W) INC,2016-09-01,internal,James T. Ryan,Donald G. Macpherson,2015,2017
2994,8823,822416.0,PULTEGROUP INC,2016-09-08,internal,"Richard J. Dugas, Jr.",Ryan R. Marshall,2015,2017
7527,63501,,E TRADE FINANCIAL CORP,2016-09-12,internal,Paul Thomas Idzik,Karl A. Roessner,2015,2017
7554,63645,,ENDO INTERNATIONAL PLC,2016-09-23,external,Rajiv Kanishka Liyanaarchchie De Silva,Paul V. Campanelli,2015,2017
9126,175319,1359841.0,HANESBRANDS INC,2016-10-01,internal,Richard A. Noll,"Gerald W. Evans, Jr.",2015,2017
1755,5709,48465.0,HORMEL FOODS CORP,2016-10-31,internal,Jeffrey M. Ettinger,James P. Snee,2015,2017
4778,14477,823768.0,WASTE MANAGEMENT INC,2016-11-11,internal,David P. Steiner,"James C. Fish, Jr.",2015,2017
4735,14359,1038357.0,PIONEER NATURAL RESOURCES CO,2016-12-01,internal,Scott Douglas Sheffield,Timothy L. Dove,2015,2017
9272,179534,1403161.0,VISA INC,2016-12-01,external,Charles W. Scharf,"Alfred Francis Kelly, Jr.",2015,2017
7348,62263,899866.0,ALEXION PHARMACEUTICALS INC,2016-12-12,external,David L. Hallal,"Ludwig N. Hantson, Ph.D.",2015,2017
1320,4503,34088.0,EXXON MOBIL CORP,2016-12-31,internal,Rex W. Tillerson,Darren W. Woods,2015,2017
8763,149337,1120193.0,NASDAQ INC,2016-12-31,internal,Robert Greifeld,Adena T. Friedman,2015,2017
3659,10793,100493.0,TYSON FOODS INC -CL A,2016-12-31,internal,Donnie Smith,Thomas P. Hayes,2015,2017
8890,160479,1289490.0,EXTRA SPACE STORAGE INC,2016-12-31,external,Spencer F. Kirk,Joseph D. Margolis,2015,2017
4000,11636,1770450.0,XEROX CORP,2016-12-31,internal,Ursula Maxine Burns,Jeffrey Jacobson,2015,2017
2140,6730,59478.0,LILLY (ELI) & CO,2016-12-31,internal,John C. Lechleiter,David A. Ricks,2015,2017
3788,11060,103379.0,VF CORP,2016-12-31,internal,Eric C. Wiseman,Steven E. Rendle,2015,2017
8255,120877,1275283.0,REYNOLDS AMERICAN INC,2017-01-01,internal,Susan M. Cameron,Debra A. Crew,2016,2017
698,2817,18230.0,CATERPILLAR INC,2017-01-01,internal,Douglas Ray Oberhelman,"D. James Umpleby, III",2016,2017
1295,4430,33213.0,EQT CORP,2017-01-01,internal,David L. Porges,Steven T. Schlotterbeck,2016,2017
1362,4611,794367.0,MACY'S INC,2017-01-01,internal,Terry J. Lundgren,Jeffrey Gennette,2016,2017
2242,7063,1070750.0,HOST HOTELS & RESORTS INC,2017-01-01,internal,"W. Edward Walter, III",James F. Risoleo,2016,2017
5820,24468,875045.0,BIOGEN INC,2017-01-06,external,"George A. Scangos, Ph.D.",Michel Vounatsos,2016,2018
