transition_id,cik,coname,classification,succ_total,succ_salary,succ_name_parsed,succ_accession,succ_status,pred_total,pred_salary,pred_name_parsed,pred_accession,pred_status,comp_ratio_succ_over_pred
889,831001,CITIGROUP INC,internal,,,,0001206774-14-000849,ceo-row-not-found,,,Vikram Pandit,0001193125-12-104047,ok,
9271,1403161,VISA INC,external,,,Charles W. Scharf Chief Executive Officer,0001193125-14-441290,ok,,,Joseph W. Saunders Chairman and Chief Executive Officer*,0001193125-12-504140,ok,
6098,885725,BOSTON SCIENTIFIC CORP,internal,,,Michael F. Mahoney,0001047469-14-002942,ok,,,William H. Kucheman(8),0001047469-12-003392,ok,
9482,1138118,CBRE GROUP INC,internal,,,Robert E. Sulentic,0001193125-14-125971,ok,,,Brett White,0001193125-12-129724,ok,
6588,908255,BORGWARNER INC,internal,,,James R. Verrier (3),0000908255-14-000022,ok,,,Timothy M. Manganello,0000908255-12-000023,ok,
6615,1418135,KEURIG DR PEPPER INC,external,,,President & CEO,0001104659-14-021992,ok,,,President & CEO,0001047469-12-003515,ok,
8377,1086222,AKAMAI TECHNOLOGIES INC,internal,,,Chief Executive Officer,0001193125-14-128020,ok,,,Paul Sagan President and CEO,0001193125-12-150076,ok,
1521,40533,GENERAL DYNAMICS CORP,internal,,,Phebe N. Novakovic Chairman and Chief Executive Officer,0001193125-14-103696,ok,,,Jay L. Johnson Chairman and Chief Executive Officer,0001193125-12-118907,ok,
8579,1121788,GARMIN LTD,internal,,,Clifton A. Pemble,0001308179-14-000179,ok,,,,0001144204-12-021681,ceo-row-not-found,
6382,49071,HUMANA INC,internal,,,"Bruce D. Broussard, President and Chief Executive Officer (5)",0001193125-14-090547,ok,,,"Michael B. McCallister, Chairman & Chief Executive Officer (4)",0001193125-12-096218,ok,
3123,85961,RYDER SYSTEM INC,internal,,,Robert E. Sanchez,0000085961-14-000019,ok,,,Gregory T. Swienton,0000085961-13-000014,ok,
3905,106535,WEYERHAEUSER CO,external,,,Doyle R. Simons President and Chief Executive Officer,0001193125-14-065372,ok,,,D.S. Fulton President and Chief Executive Officer,0001193125-13-076436,ok,
